Model,Task ID,Split,Overall,Stored Overall,Overall Delta,FLAE,Read.,Insh.,Stru.,TRACE,Vef.,Con.,Cov.,Fid.,MOSAIC,Sem.,Acc.,VQA,Complete,Report Path,Report SHA256,MOSAIC Summary Path,MOSAIC Summary SHA256
Gemini 3.1 Flash Lite,Q65,Research,51.1095,51.11,-0.0005,60.806,62.224262,97.072852,55.25,56.2894,100.0,16.666667,16.666667,37.5,36.012,28.902664,,28.902664,True,reports/Q65.md,0f6a908fa53c8950bfec146792e0ce2c67eac637af4a1c486dd10a26cc3c26db,reports/mm/Q65/mm_router_routed/final_summary.json,55fc482066c366931c3f59b2682ecdc196e8d5259d74be604f10eb14eab26e1e
Gemini 3.1 Flash Lite,Q67,Research,51.2324,51.232,0.0004,64.575,61.321684,97.656123,58.5,46.5634,100.0,13.5,0.0,0.0,50.119,44.25713,100.0,25.676174,True,reports/Q67.md,708e59a90bcdbe5e9c658b045c79df6da8b74273ce25132194f08a7f36bc17da,reports/mm/Q67/mm_router_routed/final_summary.json,a8c4c1ae3327b66416661fdbca5bdc7a36ee3a2b007d9a937fe82c93215ae679
Gemini 3.1 Flash Lite,Q66,Research,46.3041,46.304,0.0001,55.979,65.07241,58.035497,45.5,48.6316,100.0,11.571429,0.0,0.0,35.975,26.143302,,26.143302,True,reports/Q66.md,19c59516ae292e8ebd0a0baff541f6d70a05fa4bd364730a97544944bb35178f,reports/mm/Q66/mm_router_routed/final_summary.json,d389c5d24e3c6050855b06a1ecab1d6c629f34786c313dcc009e56cede6509e3
Gemini 3.1 Flash Lite,Q68,Research,57.3363,57.336,0.0003,67.751,62.37442,93.822852,58.5,48.592,100.0,10.8,0.0,0.0,64.967,59.960668,100.0,49.950836,True,reports/Q68.md,2251fda866fd1183db343eb74f485a1972127b0c3f93d47eee84f3fb5a7109a6,reports/mm/Q68/mm_router_routed/final_summary.json,4ac7e99a9185017965662e1e85cf2fe025379effaf4d0cae22e2a01bd2c27140
Gemini 3.1 Flash Lite,Q69,Research,48.4077,48.408,-0.0003,61.085,62.01779,96.5,58.5,48.397,100.0,12.375,0.0,0.0,39.974,33.30481,,33.30481,True,reports/Q69.md,1ac576793913065c932aab11321e8907cece677b6cb3a82c8608accf544068f3,reports/mm/Q69/mm_router_routed/final_summary.json,c4118fc9b50f8fbc6cd376415cf50d425f8f19f6390b7c8c51c05de8e955d7a1
Gemini 3.1 Flash Lite,Q71,Research,52.5521,52.552,0.0001,71.847,78.799044,92.655518,58.5,47.566,100.0,8.0,0.0,0.0,47.999,39.998419,,39.998419,True,reports/Q71.md,41e4680f19852b832e6a1593220718ae4e19948603053f36b7c7b5970db3496d,reports/mm/Q71/mm_router_routed/final_summary.json,507e87438964bb51acdb46fb158223fa1e4385303b22d5e27c97b23ea86842f7
Gemini 3.1 Flash Lite,Q70,Research,59.1911,59.191,0.0001,73.203,66.643821,100.0,65.0,59.2948,100.0,29.018315,37.142857,1.350484,49.677,43.159554,,43.159554,True,reports/Q70.md,b9bf87cabd3c57f7ec74301458fc1683096da827d56c63a50f2690f48d6730a2,reports/mm/Q70/mm_router_routed/final_summary.json,07afd409dfce97d5e648af5f330a6402d3807625aefc5ebf123119a5048071a9
Gemini 3.1 Flash Lite,Q72,Research,55.4303,55.43,0.0003,65.61,61.097756,93.822852,55.25,45.166,100.0,6.0,0.0,0.0,65.751,59.730488,100.0,49.66311,True,reports/Q72.md,2365bbe8dc2fb722c4ef1b65543ab3528fd0879a4d16d01f5e39c49054a4cd52,reports/mm/Q72/mm_router_routed/final_summary.json,bb959a41c714eeedc7ec34303183d474ba8e867a0c9265e9b8a033a0541d1463
Gemini 3.1 Flash Lite,Q73,Research,55.8654,55.865,0.0004,70.34,64.121818,96.156665,58.5,50.095,100.0,12.363636,16.666667,0.0,55.833,50.0,33.333333,66.666667,True,reports/Q73.md,b4b6e250e52ca81bf1fecb0902231a7b8df72a6845c9bc15c0d922fb0f1a865e,reports/mm/Q73/mm_router_routed/final_summary.json,7c6c22735f8064a6f8a737d306f244589f7b9034e77d13d846a46218f8fc7049
Gemini 3.1 Flash Lite,Q74,Research,55.8438,55.844,-0.0002,72.767,67.043012,97.072852,61.75,48.442,100.0,12.461538,0.0,0.0,56.898,52.109191,,52.109191,True,reports/Q74.md,a8b500086b58226e8657aeed1e20380af541658826c7712f0cc656e508048d46,reports/mm/Q74/mm_router_routed/final_summary.json,b59713604fbf28979cba2e0e2ba6350ec7f9af19984a9f9d008671703ca52b95
Gemini 3.1 Flash Lite,Q75,Research,71.9319,71.932,-0.0001,69.164,60.80536,97.072852,58.5,56.1982,100.0,19.279476,42.063492,0.0,100.0,100.0,100.0,,True,reports/Q75.md,1f7077b78f7710bab532f858520577b6a6d73391588b91518cd6f406aed7283c,reports/mm/Q75/mm_router_routed/final_summary.json,3610480b786f1b553fc5c1ec687b3fdebdbc02ca1955c4582d9ad68d4eeb9459
Gemini 3.1 Flash Lite,Q77,Research,13.7218,13.722,-0.0002,68.609,61.788817,93.217559,61.75,0.0,0.0,0.0,0.0,100.0,0.0,,,,True,reports/Q77.md,06e0d2d24fbd8c5efbfb72a705d56788801369c36542d26642871d9b1122a190,,
Gemini 3.1 Flash Lite,Q78,Research,33.712,33.712,0.0,68.56,60.971706,97.072852,58.5,40.0,100.0,0.0,0.0,100.0,0.0,,,,True,reports/Q78.md,a81619da0ce45ec0e102d9f331bcbda8953a31329f499e3376782a1090d6baf9,,
Gemini 3.1 Flash Lite,Q79,Research,33.896,33.896,0.0,69.48,65.146829,94.406123,58.5,40.0,100.0,0.0,0.0,100.0,0.0,,,,True,reports/Q79.md,7b0fb05c39eb0ac462b5e00c139c35bbb49f61394b0086399e63eb76e11a3aee,,
Gemini 3.1 Flash Lite,Q76,Research,57.7663,57.766,0.0003,63.61,60.526895,92.072255,58.5,57.0886,100.0,17.169661,33.75,7.686833,55.0,49.99991,,49.99991,True,reports/Q76.md,6aee2106b1f031ef3385beb1121effaf6ee33132798fff49d3feeb5f5c35fb46,reports/mm/Q76/mm_router_routed/final_summary.json,0cdfdac6759468fa46ea379c44e9657860d5d426aef09a33c71f20ce193c2a67
Gemini 3.1 Flash Lite,Q80,Research,46.418,46.418,0.0,25.98,6.898332,90.0,0.0,49.9108,100.0,10.285714,0.0,18.75,54.222,47.284033,100.0,20.92605,True,reports/Q80.md,78a713c5a3230b2e6651666d2bac0982286eec9089f28f8be19a0be0c14db524,reports/mm/Q80/mm_router_routed/final_summary.json,1f8dae4ad9be5b24ff1be08b54e2c379b92de8466cc31eebc8250283765ab2ac
Gemini 3.1 Flash Lite,Q81,Research,57.3066,57.307,-0.0004,71.162,63.989179,94.406123,61.75,48.8614,100.0,13.5,0.0,0.0,62.145,57.145731,100.0,0.006706,True,reports/Q81.md,7e34456804a5d030c29fcc8254fb0fff012ee30c6f3e77d8629bd49e713884a0,reports/mm/Q81/mm_router_routed/final_summary.json,3c5b19cbbbbcbd7ddd9642ae3c2cc2538886c68981b186e438b7657e9ea5e09d
Gemini 3.1 Flash Lite,Q82,Research,33.209,33.209,0.0,66.045,66.86889,92.072255,58.5,40.0,100.0,0.0,0.0,100.0,0.0,,,,True,reports/Q82.md,1ab271c4635542d6a689e8e1b90f880a54713db9f12c3d1cb2fd5f0470801e39,,
Gemini 3.1 Flash Lite,Q83,Research,51.4273,51.427,0.0003,69.019,67.257313,100.0,65.0,47.2138,100.0,5.538462,0.0,0.0,46.722,38.496022,0.0,48.120027,True,reports/Q83.md,3e93d966b36a662758c02cd1b58456ceab849c43bbdce8be1a03d54436efd55d,reports/mm/Q83/mm_router_routed/final_summary.json,cc80bda583cb6871517ca94e6e4ed950df2d59d1ebde8045cfa178607981c5e4
Gemini 3.1 Flash Lite,Q84,Research,44.9861,44.986,0.0001,64.068,54.199476,80.822852,58.5,47.6572,100.0,6.923077,0.0,0.0,27.813,17.014381,100.0,0.417258,True,reports/Q84.md,6f0a16e4fe95ba5f6062edeeaa88def94483e20aea8a33ec17d6c84cf23bfcc2,reports/mm/Q84/mm_router_routed/final_summary.json,382b97576acf6ddb1b5c3330d1ad597fcf83dd185c93a5ddb4b1230d07267099
Gemini 3.1 Flash Lite,Q85,Research,65.4981,65.498,0.0001,16.442,6.366662,100.0,0.0,64.4194,100.0,28.0,40.0,40.0,100.0,100.0,100.0,,True,reports/Q85.md,34141948ba6a774c0a2f95671a5d029bb46c521bfd59e11956ba7a4fe2de019f,reports/mm/Q85/mm_router_routed/final_summary.json,b11924d0bd96e4af939e6a75585f15e7eee83c6583040a7bfa6e423f79ee9202
Gemini 3.1 Flash Lite,Q86,Research,58.263,58.263,0.0,67.661,66.338865,93.5,65.0,56.8618,100.0,19.539749,42.666667,0.0,54.333,49.258474,0.0,59.110169,True,reports/Q86.md,3dd683d481b2ebe3c529eaf9a58fce35dc669e773cec938869e971ef1fe28c87,reports/mm/Q86/mm_router_routed/final_summary.json,34ae4b3ad4b00cfcf3febbac322d5218fcc4940622edb6ee64d009ee58a88a8d
Gemini 3.1 Flash Lite,Q87,Research,46.6376,46.638,-0.0004,65.022,63.6247,96.5,58.5,47.0164,100.0,7.2,0.0,0.0,33.75,25.0,100.0,0.0,True,reports/Q87.md,1f8360900778a777b47b4a363117c93bacbb19a2fea9d170ee30f1a334649a1b,reports/mm/Q87/mm_router_routed/final_summary.json,175ea06b3030ceba2df809b17ef5365e8be9e8a84f86cfb7b3db06ad4cb3a231
Gemini 3.1 Flash Lite,Q88,Research,47.4929,47.493,-0.0001,69.294,66.443712,100.0,65.0,46.321,100.0,10.285714,0.0,0.0,34.912,27.679965,,27.679965,True,reports/Q88.md,4bae0b3473acba6c9222fb78f80eb056a21329d5e4faf596ce505b3c4ab59043,reports/mm/Q88/mm_router_routed/final_summary.json,e233cac721847b36780a5e44b78618f36ddfc8ad1020dd490a8f14cf0fdcf224
Gemini 3.1 Flash Lite,Q89,Research,42.1165,42.116,0.0005,66.283,60.340805,96.5,61.75,49.7758,100.0,16.0,0.0,0.0,13.24,0.282845,0.0,0.353557,True,reports/Q89.md,a56957b173a38a8c54ce78896df8c0842a74b96c98d9b1cfeac5471fb07ebe5e,reports/mm/Q89/mm_router_routed/final_summary.json,8fe479f64076b063146fda43327287d2e2d942fb86a7886d4c7e6c7a4784e712
Gemini 3.1 Flash Lite,Q91,Research,50.239,50.239,0.0,65.56,60.96785,87.322852,58.5,43.0,100.0,0.0,0.0,0.0,52.09,46.766649,,46.766649,True,reports/Q91.md,2ddc1d0180cd938864eaeb882ab9f946cca4ab4a5e06af2a5eaf390ad3549556,reports/mm/Q91/mm_router_routed/final_summary.json,0b05880673fb1a5c485734f42f6b469ecdd28b0485d96189c4dcf801c6685af7
Gemini 3.1 Flash Lite,Q90,Research,73.0305,73.03,0.0005,67.07,59.929148,96.5,58.5,59.233,100.0,21.204918,36.666667,15.361446,100.0,100.0,100.0,,True,reports/Q90.md,dfef7ca35112bd4ee474206e05bf81822e2f5fd5b50a88c8c23ef8d6457275a8,reports/mm/Q90/mm_router_routed/final_summary.json,752836b2b98119c11dd8bd868e1dbc43f5548dcd27f25f7676035891064d14b3
Gemini 3.1 Flash Lite,Q92,Research,55.3627,55.363,-0.0003,62.449,60.677509,92.655518,58.5,43.726,100.0,3.6,0.0,0.0,70.033,66.703202,,66.703202,True,reports/Q92.md,330704e42b3947df09f4186c104e678edd52b50e680ba3e96562e5b278e3f51e,reports/mm/Q92/mm_router_routed/final_summary.json,5c858e7acd6a536f4fd860a0bd5df2180de99cc31b087874fcfa990b23ce5f5e
Gemini 3.1 Flash Lite,Q93,Research,44.2958,44.296,-0.0002,70.668,63.74537,91.156123,61.75,52.0312,100.0,16.013462,25.102881,23.451982,13.822,4.246728,,4.246728,True,reports/Q93.md,283895860735f8993f8b8a2576154eb1869ebc6420048c405430f9fb72eeb9b6,reports/mm/Q93/mm_router_routed/final_summary.json,0c5b368bb402f6920f5c651c5ba3671b4818e76e17b72a985d81dfa6b895af3e
Gemini 3.1 Flash Lite,Q94,Research,45.9768,45.977,-0.0002,73.043,79.701607,94.715647,58.5,44.809,100.0,0.0,0.0,0.0,29.879,20.025787,,20.025787,True,reports/Q94.md,d464837c6e0980b54cc124edbf0a40571ddabd1ad9ed14d2ec2573f81c0dea61,reports/mm/Q94/mm_router_routed/final_summary.json,0032fe679ab2f794d9f9f8b89067bbe87e4941717d9a122110172bb9f9a6e157
Gemini 3.1 Flash Lite,Q96,Research,42.0522,42.052,0.0002,73.388,64.062936,97.072852,61.75,48.7492,100.0,11.454545,0.0,0.0,10.0,0.0,0.0,,True,reports/Q96.md,4bed94b6a5b3c938d0a8c71cd656c06b7facd590794cb02995ca8dd4391ae6ca,reports/mm/Q96/mm_router_routed/final_summary.json,f29de91fb76295bf2fe405da7a8c622ee873788d2a682e63491c060ee621cf3e
Gemini 3.1 Flash Lite,Q95,Research,49.4438,49.444,-0.0002,67.719,60.653827,97.072852,58.5,60.2692,100.0,25.392857,54.545455,11.978221,19.218,10.241952,,10.241952,True,reports/Q95.md,c9fb15eb85c0ec5116d1d83255229a4f84d35ffa66042fc84e55403aeb1b2fe4,reports/mm/Q95/mm_router_routed/final_summary.json,f9e0e9add1e926484c98875f42409670e9b6a5ae81ec31bda9189e21cf628b9a
Gemini 3.1 Flash Lite,Q97,Research,47.8901,47.89,0.0001,67.365,61.720234,97.072852,58.5,44.8348,100.0,4.5,0.0,0.0,39.999,33.331794,,33.331794,True,reports/Q97.md,591b4174e885991dbbcd5d07ed249068469400058adb6da40acbf5142347c6e9,reports/mm/Q97/mm_router_routed/final_summary.json,54b4d016cfcdacab936c93f487d59bbbf071d409a054a82dfee4cf6207098a4a
Gemini 3.1 Flash Lite,Q98,Research,64.6496,64.65,-0.0004,67.116,64.512182,97.656123,58.5,42.4528,100.0,2.25,0.0,0.0,100.0,100.0,,100.0,True,reports/Q98.md,e087e51d1314664b5e9690896b8f4cc1a1e8c5cffb667fe2f5121520b741317c,reports/mm/Q98/mm_router_routed/final_summary.json,cc3cb23860698a09c4fee073d80451ffb1fda081b1f62a193e4c7023ef5244fa
Gemini 3.1 Flash Lite,Q100,Daily,31.3482,31.348,0.0002,56.741,64.18066,84.711053,45.5,40.0,100.0,0.0,0.0,100.0,0.0,,,,True,reports/Q100.md,8c272d20933de9b571ae9f3fc5564a1dd7fa74de3e5b24adb79c03af72d019cf,,
Gemini 3.1 Flash Lite,Q101,Daily,33.8596,33.86,-0.0004,69.298,60.20188,96.5,58.5,40.0,100.0,0.0,0.0,100.0,0.0,,,,True,reports/Q101.md,45bf414a9087a206cff624619e8c14d9c1ba08c554b389061b3968dde9601ad7,,
Gemini 3.1 Flash Lite,Q99,Research,53.1595,53.16,-0.0005,66.952,60.934932,90.572852,58.5,46.5382,100.0,3.0,0.0,0.0,55.0,50.0,,50.0,True,reports/Q99.md,54b798f2c13a7904335eec1d368953b458eaa93210570a8cbf63fe9621eff6e3,reports/mm/Q99/mm_router_routed/final_summary.json,7f14d4b890533caadb4ce086f3237ae55151c9065b2e6ebe0c8185496bbdba97
Gemini 3.1 Flash Lite,Q102,Daily,68.0429,68.043,-0.0001,71.907,67.442707,97.656123,58.5,57.5506,100.0,20.7,33.777778,12.307601,82.954,80.671137,100.0,22.684547,True,reports/Q102.md,f652fe790f85f167b8afad32ee0c04a47aeb8d6c38cb521ae04c7f483021871d,reports/mm/Q102/mm_router_routed/final_summary.json,b005b0747d0fdbb257c36c86fb2799c369617c4bfcf97d1e159021595a63005e
Gemini 3.1 Flash Lite,Q103,Daily,61.0618,61.062,-0.0002,64.903,59.628438,92.655518,52.0,49.6624,100.0,13.5,0.0,0.0,77.5,75.0,100.0,0.0,True,reports/Q103.md,8a601ab720570f1c771af1d5a0f272b249308b7864616d1a7d0ad98c07a6d846,reports/mm/Q103/mm_router_routed/final_summary.json,ce03b9e243f04e170b3502e7ad7d5a860a0701de101d9d9cd042e5bd31006340
Gemini 3.1 Flash Lite,Q105,Daily,48.5642,48.564,0.0002,62.58,58.161044,92.072255,52.0,47.0962,100.0,8.0,0.0,0.0,41.667,33.333333,100.0,0.0,True,reports/Q105.md,4aa9a4dbe045b3eee7fdf0fc2fe006e45ef9782256d461188a00d0540d0c59e2,reports/mm/Q105/mm_router_routed/final_summary.json,c3c43d051aa6d83c1a1b1cb4399031fa4875ea064fb25ea22784a7db7a7817f9
Gemini 3.1 Flash Lite,Q104,Daily,46.2738,46.274,-0.0002,66.974,62.256762,92.655518,52.0,52.8118,100.0,19.150485,42.0,0.0,21.577,7.738159,,7.738159,True,reports/Q104.md,09499a842f3648e9cf58f8b4fdf5de2fb5840c2cbd0d77762541b080ae06181f,reports/mm/Q104/mm_router_routed/final_summary.json,fb80880c810f42471af5ed9a0d5bd7e7f4c440a68e6d3f2e137fe5ffb8817c60
Gemini 3.1 Flash Lite,Q106,Daily,63.6498,63.65,-0.0002,45.401,53.159377,49.07041,35.75,49.1968,100.0,14.4,0.0,0.0,99.904,99.887255,,99.887255,True,reports/Q106.md,cb7d4c82689c61f75b3e26584f74333f404b1bde229a908f65ac370369f7beec,reports/mm/Q106/mm_router_routed/final_summary.json,093591f849f30e7dc75c2fb8de4bdf04a755e4f236deb3c1f62f64304e30c31a
Gemini 3.1 Flash Lite,Q107,Daily,63.1556,63.156,-0.0004,43.149,38.735598,88.980888,36.0,49.0516,100.0,15.0,0.0,0.0,100.0,100.0,100.0,,True,reports/Q107.md,ddd34b11ababfbd04380de1fe896cd2144ac194d5c1b2a2bda0c49b8ac417736,reports/mm/Q107/mm_router_routed/final_summary.json,b07460dcdcbc09374cae5d67b0331edad7548174970706ff3fed5415e6a293ab
Gemini 3.1 Flash Lite,Q109,Daily,29.8952,29.895,0.0002,49.476,40.985994,89.981009,36.0,40.0,100.0,0.0,0.0,100.0,0.0,,,,True,reports/Q109.md,21331c0059fc4ba1994ace3b92efbd5fbcb839976b5af5a2b36696b1a50713b2,,
Gemini 3.1 Flash Lite,Q108,Daily,59.0266,59.027,-0.0004,55.144,38.556436,94.982033,40.0,56.3956,100.0,19.791304,40.40404,0.0,66.0,60.0,,60.0,True,reports/Q108.md,779c7a6208525a2154bf56f4891f3d59ea0b1f48f608608155abf8cf336e19e0,reports/mm/Q108/mm_router_routed/final_summary.json,56aa4fefd756359ac546239a43dc597593067e3d36b89b28930aa0efee189050
Gemini 3.1 Flash Lite,Q110,Daily,70.7731,70.773,0.0001,67.909,60.438399,93.25,58.5,54.3826,100.0,16.025316,26.153846,0.0,100.0,100.0,100.0,,True,reports/Q110.md,73e0b6d1d1892bd26b3df5f9098996979e845c87de13f0354fca2c4f22d31c85,reports/mm/Q110/mm_router_routed/final_summary.json,e30807abc87ba812417341028838213149183782d5b1a5cb6d65d7f8cc89a40e
Gemini 3.1 Flash Lite,Q111,Daily,17.8844,17.884,0.0004,49.879,37.577115,88.941108,36.0,8.3172,0.0,12.6,0.0,0.0,12.5,0.0,,0.0,True,reports/Q111.md,efa642ffbbe0dfcf54dfca50fb58c85bbb645e8ede6bef55b7ac0fbfca6f0aec,reports/mm/Q111/mm_router_routed/final_summary.json,6447b44bb50ad06c944eb5cbd254e891af6db8fd0241d2679c10838145cf0b02
Gemini 3.1 Flash Lite,Q113,Daily,67.8033,67.803,0.0003,60.347,57.169158,82.322255,58.5,51.4678,100.0,10.8,24.0,0.0,100.0,100.0,100.0,,True,reports/Q113.md,22aa2b73ded96facb321b4f71cbe10ea2699b0ee8f30f80130e93c3bc697bfd5,reports/mm/Q113/mm_router_routed/final_summary.json,46ffd3d840bee053a684bf86cfaa4bd66f208fb10b93ebbabb6230fedd0a1729
Gemini 3.1 Flash Lite,Q112,Daily,51.8818,51.882,-0.0002,20.854,6.561596,66.943295,0.0,44.3644,100.0,0.0,0.0,0.0,85.096,83.439482,100.0,33.757926,True,reports/Q112.md,d69f015e7242823dae55b31675c3b16400da1c326da4fa6b71ac4fca75e271ae,reports/mm/Q112/mm_router_routed/final_summary.json,217e26328f9df47c9d29cd9913eab0f28e9034f6f9a3c90ec027dbc83a6eba5b
Gemini 3.1 Flash Lite,Q114,Daily,30.0438,30.044,-0.0002,50.219,56.271146,60.3534,45.5,40.0,100.0,0.0,0.0,100.0,0.0,,,,True,reports/Q114.md,cd402bc3198b6723b0e75ea8fd4b0ceb30f61ff6680c0ef35b497a6c2dfea0be,,
Gemini 3.1 Flash Lite,Q116,Daily,32.9634,32.963,0.0004,64.817,57.430308,94.083206,58.5,40.0,100.0,0.0,0.0,100.0,0.0,,,,True,reports/Q116.md,56b861008f46bf8a769b1ec647aeb5b29b803c2e4616576ca3887e2fab5a58a4,,
Gemini 3.1 Flash Lite,Q115,Daily,58.6497,58.65,-0.0003,47.093,43.170049,87.981009,36.0,51.2632,100.0,10.8,19.636364,0.0,78.665,74.900367,,74.900367,True,reports/Q115.md,2b45c65f2e30c6e068b974c6704e4cc2d8916a330022279cf71db5a3ec35ccc9,reports/mm/Q115/mm_router_routed/final_summary.json,9228f4a22794d212905306016e200012eb8f81f73cd578e761079e9f52fb8db8
Gemini 3.1 Flash Lite,Q117,Daily,56.1742,56.174,0.0002,18.127,9.118181,36.822255,13.0,45.0976,100.0,11.076923,0.0,0.0,100.0,100.0,100.0,,True,reports/Q117.md,a4fdc1f24c575457b09b6df3489e7a701f7f39ec5b90946219806b08ce21ae9a,reports/mm/Q117/mm_router_routed/final_summary.json,650634f2016d357dcaae18f60ad21f0dab8a25316afa878121b8b1a1cd5c62c9
Gemini 3.1 Flash Lite,Q119,Daily,31.6553,31.655,0.0003,17.037,18.600311,83.203353,0.0,48.994,100.0,14.0,0.0,0.0,12.503,0.003886,,0.003886,True,reports/Q119.md,47b07b5f7d9c519b73b80c0f6db63e98763b0fb683ef87dd145b29c158c9e546,reports/mm/Q119/mm_router_routed/final_summary.json,e046b85345e8ed9586e0c5951650e9d91c00eddf8d9819f577e6b920f929be44
Gemini 3.1 Flash Lite,Q120,Daily,33.2342,33.234,0.0002,66.171,61.47614,93.25,58.5,40.0,100.0,0.0,0.0,100.0,0.0,,,,True,reports/Q120.md,86516b39428374a7335d57d8bfa80d2807e9c1eaf0f3ef3a811ffc10ade15c2f,,
Gemini 3.1 Flash Lite,Q118,Daily,71.7212,71.721,0.0002,42.807,38.595869,89.981009,36.0,66.3196,100.0,36.920223,60.247934,28.133992,100.0,100.0,100.0,,True,reports/Q118.md,06f1a4c4b9fef8622d0b8db22bbd1c6c004c9f9e5d2195aecaea6b1ffb8198f1,reports/mm/Q118/mm_router_routed/final_summary.json,26797d4415833086474ec704b9a5bdd494c1f00cb23bd7ea94541456aa0b2eb1
Gemini 3.1 Flash Lite,Q121,Daily,50.2095,50.21,-0.0005,48.29,54.490289,87.621564,32.5,47.2588,100.0,10.5,0.0,0.0,56.407,50.181645,100.0,33.575527,True,reports/Q121.md,ef0c3218bb91f0d986a0679b6dc496543976571d6771cf0a35be72d6c02ba9b2,reports/mm/Q121/mm_router_routed/final_summary.json,afd4bbde1c805319d4ebcc103a0c4e4e7d94f5dbdf6992050215cdc3fb064e1f
Gemini 3.1 Flash Lite,Q122,Daily,20.824,20.824,0.0,59.777,55.132863,86.3534,52.0,2.7102,0.0,3.6,0.0,0.0,25.045,16.71612,100.0,0.059344,True,reports/Q122.md,c6efe9551f0783962e92759f5c01263ccaa750ed6e6fc04d4f6fc6c27269a442,reports/mm/Q122/mm_router_routed/final_summary.json,06f4ded2efd98194d026c0e2a54231707fe4cacb5519d317f07c8d9bef760b31
Gemini 3.1 Flash Lite,Q124,Daily,65.9683,65.968,0.0003,56.941,58.760007,91.465647,52.0,49.1644,100.0,15.428571,0.0,0.0,99.993,99.991428,,99.991428,True,reports/Q124.md,d16fa0a094717a8a408e437f39f9b07208ba6f96a3c99f5a6f7c8d7abd17fa1e,reports/mm/Q124/mm_router_routed/final_summary.json,1f1bc936952d5d45f719e2d0751ea475c223483dcb5c6310effad89b9be7d742
Gemini 3.1 Flash Lite,Q123,Daily,51.1893,51.189,0.0003,51.027,39.91245,94.982033,32.0,21.9678,0.0,17.83871,35.041322,39.638387,100.0,100.0,100.0,,True,reports/Q123.md,2729e2d9412bf11fbb51f4f026fa4156b0114406553bd919378dd1ac5c3f5121,reports/mm/Q123/mm_router_routed/final_summary.json,c41aea17b2ac243e4fec9db3fcc9b710a2de84a2393b32d0f6842e5aba8a49af
Gemini 3.1 Flash Lite,Q126,Daily,40.399,40.399,-0.0,66.817,67.196315,81.715647,58.5,46.7566,100.0,10.285714,0.0,0.0,12.191,0.212194,,0.212194,True,reports/Q126.md,20c3c91f7633344fcbd1142c61a23364c03bc401238c1074da89be114378974d,reports/mm/Q126/mm_router_routed/final_summary.json,362dbfe624e7014e1f5a4772d185b96c6577f1b68010d94025f1b19c16f2f2d3
Gemini 3.1 Flash Lite,Q125,Daily,71.234,71.234,0.0,60.147,75.419051,40.06,40.0,58.4092,100.0,23.285714,30.649351,33.333333,100.0,100.0,100.0,,True,reports/Q125.md,5917029e8d16c5c0daf2d57abf6a56ce6ea646c0cdd5dd79491121d623991012,reports/mm/Q125/mm_router_routed/final_summary.json,ca58bc3a81efb9bf278e02f8edd7b2d077caa1fe0ab3b8965868e3a296d54677
Gemini 3.1 Flash Lite,Q127,Daily,32.0618,32.062,-0.0002,60.309,59.596744,87.071586,45.5,40.0,100.0,0.0,0.0,100.0,0.0,,,,True,reports/Q127.md,32d174f43ee543d67ac656b0ff89e9ee2557df5bd441442a71e31eb7cfe8dc48,,
Gemini 3.1 Flash Lite,Q128,Daily,35.1376,35.138,-0.0004,65.509,60.582831,90.572852,55.25,44.0716,100.0,16.2,0.0,0.0,0.0,,,,True,reports/Q128.md,21b0343905173c87be6bf6507b47862b4adb6795c9653acc3b13d5b939eca7fa,reports/mm/Q128/mm_router_routed/final_summary.json,4029ed06f83dd3571c38c1d3619ec5e6dc9bead9968f7c2d939b457ba9036686
Gemini 3.1 Flash Lite,Q129,Daily,29.6678,29.668,-0.0002,65.743,61.043032,93.25,58.5,8.0382,0.0,14.4,0.0,0.0,41.667,33.333333,100.0,0.0,True,reports/Q129.md,670cbe90c7ee23f51196563dd96cccd4cb3fccadb3a169143ebc20904aab5c6c,reports/mm/Q129/mm_router_routed/final_summary.json,6b5caa2f1ec2b3d5e22ed593faf386ecb80e211245aa44cca428dbd50fcf4369
Gemini 3.1 Flash Lite,Q131,Daily,65.9437,65.944,-0.0003,58.828,46.702294,90.982033,38.0,49.0636,100.0,18.0,32.727273,0.0,98.821,98.612548,,98.612548,True,reports/Q131.md,fb70b1bb48396bb5966c91ef9d4904a34b398eaaf363e8640a437cbc36f63182,reports/mm/Q131/mm_router_routed/final_summary.json,748fd844e194fb09216ee4112fdbe6f934282b12f6c14bda79f5e4e5cbff0fb6
Gemini 3.1 Flash Lite,Q130,Daily,32.1494,32.149,0.0004,25.296,7.967967,55.981009,16.0,45.9304,100.0,11.571429,0.0,0.0,13.75,0.0,,0.0,True,reports/Q130.md,2248605985664b47623f80a54375b5d3876b938fe82043bc313d3b07c6d3da00,reports/mm/Q130/mm_router_routed/final_summary.json,25259b593e0d87834ae21300b8ce2e5c8f13570e712703e2865544a8ff0f7651
Gemini 3.1 Flash Lite,Q133,Daily,33.4268,33.427,-0.0002,67.134,64.858073,90.0,58.5,40.0,100.0,0.0,0.0,100.0,0.0,,,,True,reports/Q133.md,cbdc02be1b9be5cf8065c7dd4a8aa84d3ea00336aaa342b4a63c994b8b4506a8,,
